FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,FYTD,OCT,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Land,Travelers,Passenger Vehicles,1315
2023,Remaining,AUG,Northern Border,BOSTON,ME,"FORT KENT, ME (0110)",Land,Travelers,Trucks,366
2025 (FYTD),FYTD,DEC,Coastal/Interior,CHICAGO,IN,FORT WAYNE AIRPORT (4183),Air,Conveyances,Air,2
2025 (FYTD),FYTD,NOV,Coastal/Interior,ATLANTA,NC,"CHARLOTTE, NC (1512)",Air,Travelers,Air,112692
2022,Remaining,MAR,Southern Border,SAN DIEGO,CA,MCCLELLAN-PALOMAR AIRPRT (2581),Air,Travelers,Air,448
2024,Remaining,MAY,Southern Border,LAREDO,TX,"RIO GRANDE CITY, TX (2307)",Land,Travelers,Trucks,3528
2022,Remaining,JUN,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Land,Conveyances,Passenger Vehicles,227371
2024,Remaining,AUG,Northern Border,DETROIT,MI,WILLOW RUN AIRPORT (3882),Air,Conveyances,Air,24
2024,Remaining,JAN,Northern Border,SEATTLE,WA,SEATTLE-TACOMA INTL ARPT (3029),Air,Conveyances,Air,1186
2022,Remaining,APR,Northern Border,BOSTON,ME,"LIMESTONE, ME (0118)",Land,Conveyances,Passenger Vehicles,258
2022,Remaining,SEP,Southern Border,LAREDO,TX,"HIDALGO,TX (2305)",Land,Conveyances,Trucks,58045
2023,Remaining,MAY,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Air,Travelers,Air,803
2023,FYTD,NOV,Northern Border,BUFFALO,NY,"ALBANY, NY (1002)",Air,Conveyances,Air,24
2024,Remaining,MAR,Northern Border,SEATTLE,ND,"WALHALLA, ND (3407)",Land,Conveyances,Trucks,488
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,ID,"EASTPORT, ID (3302)",Land,Travelers,Trucks,4429
2022,Remaining,AUG,Northern Border,SEATTLE,MT,"WILLOW CREEK, MT (3325)",Land,Travelers,Passenger Vehicles,662
2024,Remaining,APR,Northern Border,PORTLAND,AK,"DALTON CACHE, AK (3106)",Land,Conveyances,Passenger Vehicles,893
2022,Remaining,JUN,Northern Border,BOSTON,ME,"FORT KENT, ME (0110)",Land,Conveyances,Trucks,790
2024,FYTD,DEC,Northern Border,SEATTLE,ND,GRAND FORKS AIRPORT (3427),Air,Travelers,Air,10
2022,Remaining,JAN,Coastal/Interior,SAN FRANCISCO,MP,SAIPAN (3211),Air,Travelers,Air,3834
2023,Remaining,JUN,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Conveyances,Trucks,122
2022,Remaining,MAY,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Conveyances,Passenger Vehicles,240
2024,FYTD,NOV,Northern Border,SEATTLE,MN,"ROSEAU, MN (3426)",Land,Conveyances,Trucks,259
2023,Remaining,APR,Coastal/Interior,SAN FRANCISCO,HI,KONA HI (3206),Air,Conveyances,Air,3
2023,Remaining,APR,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Travelers,Air,64
2024,Remaining,JUN,Coastal/Interior,CHICAGO,IN,"INDIANAPOLIS, IN (4110)",Air,Conveyances,Air,129
2023,Remaining,MAR,Coastal/Interior,CHICAGO,MN,ROCHESTER MN (3581),Air,Travelers,Air,98
2023,Remaining,MAY,Northern Border,PORTLAND,AK,"ALCAN, AK (3104)",Land,Travelers,Trucks,912
2022,Remaining,JUL,Coastal/Interior,LOS ANGELES,NV,"LAS VEGAS, NV (2722)",Air,Travelers,Air,83836
2024,Remaining,JUL,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Conveyances,Passenger Vehicles,21103
2022,Remaining,JAN,Northern Border,SEATTLE,MT,"TURNER, MT (3306)",Land,Conveyances,Passenger Vehicles,240
2023,Remaining,JUN,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Passenger Vehicles,1792
2024,Remaining,AUG,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Conveyances,Passenger Vehicles,649
2023,Remaining,AUG,Coastal/Interior,TAMPA,FL,FORT MYERS (1822),Air,Travelers,Air,4028
2022,FYTD,DEC,Coastal/Interior,HOUSTON,OK,"OKLAHOMA CITY, OK (5504)",Air,Travelers,Air,37
2023,Remaining,JUN,Southern Border,EL PASO,NM,SANTA TERESA (2408),Air,Conveyances,Air,25
2024,Remaining,JUL,Coastal/Interior,SAN FRANCISCO,MP,SAIPAN (3211),Air,Conveyances,Air,175
2022,Remaining,MAR,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Conveyances,Trucks,8149
2024,Remaining,SEP,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Travelers,Passenger Vehicles,267251
2025 (FYTD),FYTD,NOV,Northern Border,BOSTON,CT,"HARTFORD, CT (0411)",Air,Travelers,Air,1069
2024,Remaining,AUG,Coastal/Interior,CHICAGO,KY,"LOUISVILLE, KY (4115)",Air,Conveyances,Air,315
2022,Remaining,SEP,Northern Border,DETROIT,MI,"ALGONAC, MI (3814)",Land,Conveyances,Passenger Vehicles,2401
2024,Remaining,JUL,Northern Border,SEATTLE,WA,KENNETH G WARD POE (3023),Land,Travelers,Passenger Vehicles,109081
2023,FYTD,OCT,Coastal/Interior,SAN FRANCISCO,CA,"SAN FRANCISCO, CA (2809)",Air,Conveyances,Air,15
2022,Remaining,SEP,Coastal/Interior,ATLANTA,NC,"CHARLOTTE, NC (1512)",Air,Conveyances,Air,536
2022,Remaining,APR,Southern Border,EL PASO,NM,"COLUMBUS, NM (2406)",Land,Travelers,Trucks,738
2022,Remaining,SEP,Northern Border,DETROIT,MI,WILLOW RUN AIRPORT (3882),Air,Conveyances,Air,36
2022,Remaining,JUL,Coastal/Interior,CHICAGO,SD,"SIOUX FALLS, SD (3502)",Air,Conveyances,Air,23
2024,Remaining,JUL,Northern Border,SEATTLE,MT,"TURNER, MT (3306)",Land,Travelers,Passenger Vehicles,1453
2022,Remaining,JAN,Northern Border,SEATTLE,ND,GRAND FORKS AIRPORT (3427),Air,Travelers,Air,29
2022,FYTD,DEC,Coastal/Interior,ATLANTA,VA,"NORFOLK, VA (1401)",Air,Conveyances,Air,65
2023,Remaining,MAY,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO, TX (5507)",Air,Conveyances,Air,232
2023,Remaining,AUG,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Land,Travelers,Passenger Vehicles,525821
2022,Remaining,MAY,Coastal/Interior,HOUSTON,TX,HOUSTON INTERCONTL (5309),Air,Conveyances,Air,2950
2024,FYTD,DEC,Northern Border,SEATTLE,ND,"HANNAH, ND (3408)",Land,Travelers,Trucks,2
2024,Remaining,JUN,Southern Border,TUCSON,AZ,"NACO, AZ (2603)",Land,Travelers,Passenger Vehicles,51933
2025 (FYTD),FYTD,OCT,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Air,Travelers,Air,5
2024,Remaining,JUN,Northern Border,BOSTON,CT,"BRIDGEPORT, CT (0410)",Air,Conveyances,Air,2
2024,Remaining,JAN,Coastal/Interior,CHICAGO,SD,"SIOUX FALLS, SD (3502)",Air,Travelers,Air,79
2022,Remaining,MAY,Coastal/Interior,CHICAGO,KY,"LOUISVILLE, KY (4115)",Air,Conveyances,Air,326
2024,FYTD,OCT,Southern Border,EL PASO,TX,"EL PASO, TX (2402)",Land,Conveyances,Trucks,5859
2024,Remaining,JAN,Northern Border,PORTLAND,OR,"PORTLAND, OR (2904)",Air,Travelers,Air,23491
2023,Remaining,MAY,Northern Border,PORTLAND,CO,JEFFCO USER FEE AIRPORT (3383),Air,Travelers,Air,147
2022,Remaining,JUN,Coastal/Interior,LOS ANGELES,CA,"UPS - (ONTARIO, CA) (2795)",Air,Conveyances,Air,1
2022,Remaining,JAN,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Travelers,Passenger Vehicles,4512
2022,FYTD,DEC,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Land,Travelers,Passenger Vehicles,6170
2023,Remaining,FEB,Coastal/Interior,BALTIMORE,DE,"WILMINGTON, DE (1103)",Air,Conveyances,Air,53
2025 (FYTD),FYTD,OCT,Coastal/Interior,CHICAGO,WI,"MILWAUKEE, WI (3701)",Air,Travelers,Air,91
2023,Remaining,JAN,Northern Border,SEATTLE,WA,"PORT ANGELES, WA (3007)",Air,Travelers,Air,31
2023,Remaining,JAN,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Air,Conveyances,Air,16
2025 (FYTD),FYTD,OCT,Coastal/Interior,LOS ANGELES,NV,"LAS VEGAS, NV (2722)",Air,Travelers,Air,93852
2022,Remaining,JUL,Northern Border,PORTLAND,OR,"PORTLAND, OR (2904)",Air,Conveyances,Air,152
2023,Remaining,SEP,Coastal/Interior,ATLANTA,GA,"BRUNSWICK, GA (1701)",Air,Travelers,Air,27
2024,Remaining,MAR,Preclearance,PRECLEARANCE,DC,USCBP VICTORIA PRECLEAR (7930),Land,Travelers,Pedestrians,9414
2024,Remaining,MAY,Northern Border,SEATTLE,MT,"WILLOW CREEK, MT (3325)",Land,Travelers,Passenger Vehicles,555
2022,Remaining,MAY,Northern Border,PORTLAND,CO,ARAPAHOE CNTY PUBL AIRPT (3384),Air,Travelers,Air,303
2024,Remaining,JUN,Coastal/Interior,NEW ORLEANS,AL,"BIRMINGHAM, AL (1904)",Air,Travelers,Air,178
2022,Remaining,FEB,Northern Border,BOSTON,NH,"PORTSMOUTH, NH (0131)",Air,Travelers,Air,174
2022,Remaining,JAN,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Land,Conveyances,Passenger Vehicles,115295
2023,Remaining,MAR,Northern Border,SEATTLE,WA,"FRIDAY HARBOR, WA (3014)",Land,Travelers,Pedestrians,1
2023,Remaining,JAN,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Travelers,Trucks,877
2022,Remaining,FEB,Coastal/Interior,NEW ORLEANS,TN,PORT OF TRI-CITIES (2027),Air,Conveyances,Air,2
2022,Remaining,MAR,Northern Border,SEATTLE,WA,KENNETH G WARD POE (3023),Land,Travelers,Trucks,3867
2023,Remaining,SEP,Coastal/Interior,CHICAGO,MO,SPIRIT OF ST. LOUIS AIRP (4506),Air,Conveyances,Air,13
2025 (FYTD),FYTD,NOV,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Conveyances,Air,5
2024,Remaining,JUL,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Land,Travelers,Passenger Vehicles,652618
2023,FYTD,OCT,Northern Border,SEATTLE,WA,SEATTLE-TACOMA INTL ARPT (3029),Land,Travelers,Passenger Vehicles,5985
2023,Remaining,JAN,Northern Border,PORTLAND,CO,"DENVER, CO (3307)",Air,Travelers,Air,120294
2022,Remaining,JAN,Northern Border,DETROIT,MI,OAKLAND/PONTIAC AIRPORT (3881),Air,Conveyances,Air,33
2024,Remaining,SEP,Northern Border,PORTLAND,AK,"FAIRBANKS, AK (3111)",Air,Conveyances,Air,29
2024,Remaining,MAY,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Conveyances,Passenger Vehicles,4515
2022,Remaining,SEP,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Land,Travelers,Pedestrians,1038
2023,FYTD,DEC,Northern Border,PORTLAND,AK,"FAIRBANKS, AK (3111)",Air,Travelers,Air,109
2022,Remaining,AUG,Northern Border,SEATTLE,ND,"NOONAN, ND (3420)",Land,Travelers,Pedestrians,11
2024,Remaining,MAY,Northern Border,SEATTLE,ND,"NOONAN, ND (3420)",Land,Travelers,Pedestrians,24
2023,Remaining,AUG,Northern Border,SEATTLE,MT,"TURNER, MT (3306)",Land,Travelers,Trucks,60
2022,Remaining,APR,Northern Border,SEATTLE,MN,"BAUDETTE, MN (3424)",Land,Travelers,Pedestrians,10
2024,Remaining,SEP,Northern Border,BUFFALO,NY,"ALBANY, NY (1002)",Air,Travelers,Air,151
2024,Remaining,APR,Northern Border,SEATTLE,ND,"ANTLER, ND (3413)",Land,Travelers,Pedestrians,3
2022,Remaining,JUN,Coastal/Interior,CHICAGO,IA,"DES MOINES, IA (3513)",Air,Travelers,Air,96
2024,Remaining,SEP,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Land,Conveyances,Trucks,1602
2023,Remaining,AUG,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Land,Travelers,Trucks,155802
2022,Remaining,JUN,Northern Border,SEATTLE,MT,"TURNER, MT (3306)",Land,Travelers,Pedestrians,8
2022,Remaining,AUG,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Conveyances,Passenger Vehicles,6266
2022,Remaining,APR,Southern Border,SAN DIEGO,CA,MCCLELLAN-PALOMAR AIRPRT (2581),Air,Travelers,Air,490
2022,FYTD,OCT,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Air,Travelers,Air,250
2024,FYTD,OCT,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Air,Conveyances,Air,19
2023,Remaining,APR,Northern Border,SEATTLE,ND,"NORTHGATE, ND (3406)",Land,Travelers,Passenger Vehicles,1149
2023,Remaining,APR,Northern Border,DETROIT,MI,LANSING INTL AIRPORT (3883),Air,Conveyances,Air,13
2024,Remaining,APR,Northern Border,SEATTLE,WA,"SPOKANE, WA (3022)",Air,Conveyances,Air,23
2022,FYTD,NOV,Coastal/Interior,ATLANTA,WV,"CHARLESTON, WV (1409)",Air,Conveyances,Air,1
2022,FYTD,NOV,Northern Border,PORTLAND,AK,"SKAGWAY, AK (3103)",Land,Conveyances,Trucks,165
2023,Remaining,MAR,Coastal/Interior,SAN JUAN,VI,"CHARLOTTE AMALIE, VI (5101)",Air,Conveyances,Air,288
2023,Remaining,JUN,Northern Border,SEATTLE,ND,"NOONAN, ND (3420)",Land,Travelers,Trucks,103
2025 (FYTD),FYTD,DEC,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Travelers,Pedestrians,139
2023,Remaining,JAN,Coastal/Interior,TAMPA,FL,NOT ACTIVE (1881),Air,Travelers,Air,136
2023,Remaining,JUN,Northern Border,SEATTLE,MT,BOZEMAN YELLOWSTONE UFA (3386),Air,Travelers,Air,74
2025 (FYTD),FYTD,DEC,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Travelers,Passenger Vehicles,312388
2022,Remaining,JUN,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Land,Travelers,Pedestrians,6777
2024,Remaining,FEB,Northern Border,BOSTON,ME,"FORT FAIRFIELD, ME (0107)",Land,Travelers,Passenger Vehicles,9361
2024,FYTD,OCT,Coastal/Interior,CHICAGO,KY,BLUE GRASS AIRPORT (4184),Air,Travelers,Air,47
2022,Remaining,AUG,Northern Border,SEATTLE,WA,KENNETH G WARD POE (3023),Land,Travelers,Pedestrians,1594
2023,Remaining,JUN,Northern Border,SEATTLE,MN,"PINECREEK, MN (3425)",Land,Travelers,Passenger Vehicles,387
2022,FYTD,OCT,Coastal/Interior,NEW ORLEANS,TN,"MEMPHIS, TN (2006)",Air,Conveyances,Air,14
2022,Remaining,SEP,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Travelers,Pedestrians,14659
2024,Remaining,APR,Northern Border,BOSTON,ME,"BRIDGEWATER, ME (0127)",Land,Travelers,Pedestrians,29
2023,FYTD,OCT,Coastal/Interior,ATLANTA,NC,"CHARLOTTE, NC (1512)",Air,Travelers,Air,109545
2023,Remaining,MAY,Northern Border,SEATTLE,ND,WILLISTON AIRPORT (3433),Air,Travelers,Air,70
2024,FYTD,DEC,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Travelers,Passenger Vehicles,33716
2022,FYTD,OCT,Coastal/Interior,NEW YORK,NJ,NEW YORK/NEWARK AREA (4601),Air,Conveyances,Air,3077
2025 (FYTD),FYTD,DEC,Northern Border,BOSTON,MA,"GLOUCESTER, MA (0404)",Air,Travelers,Air,4
2024,FYTD,OCT,Coastal/Interior,TAMPA,FL,"ST. PETERSBURG, FL (1814)",Air,Conveyances,Air,34
2022,FYTD,DEC,Coastal/Interior,CHICAGO,OH,"COLUMBUS, OH (4103)",Air,Travelers,Air,1270
2025 (FYTD),FYTD,DEC,Southern Border,SAN DIEGO,CA,"TECATE, CA (2505)",Land,Conveyances,Passenger Vehicles,97860
2022,FYTD,NOV,Southern Border,SAN DIEGO,CA,SAN YSIDRO (2504),Air,Conveyances,Air,867
2022,FYTD,NOV,Coastal/Interior,SAN FRANCISCO,GU,GUAM (3207),Air,Conveyances,Air,193
2025 (FYTD),FYTD,OCT,Southern Border,TUCSON,AZ,"NACO, AZ (2603)",Land,Travelers,Passenger Vehicles,55382
2024,Remaining,JUL,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Land,Travelers,Trucks,21639
2024,Remaining,FEB,Northern Border,BOSTON,CT,"NEW LONDON, CT (0413)",Air,Conveyances,Air,3
2024,Remaining,JAN,Coastal/Interior,SAN JUAN,VI,"CHARLOTTE AMALIE, VI (5101)",Air,Conveyances,Air,268
2023,Remaining,JUL,Coastal/Interior,HOUSTON,TX,CONROE-NORTH (CXO) (5382),Air,Conveyances,Air,41
2025 (FYTD),FYTD,NOV,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Air,Travelers,Air,132
2024,FYTD,NOV,Northern Border,SEATTLE,ND,"NOONAN, ND (3420)",Land,Conveyances,Passenger Vehicles,1046
2022,Remaining,MAR,Northern Border,SEATTLE,WA,"FRONTIER, WA (3020)",Land,Travelers,Passenger Vehicles,3583
2024,Remaining,SEP,Northern Border,SEATTLE,WA,"OROVILLE, WA (3019)",Land,Conveyances,Trucks,2299
2023,Remaining,JUL,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Conveyances,Trucks,105
2022,Remaining,SEP,Northern Border,SEATTLE,ND,"ST JOHN, ND (3405)",Land,Conveyances,Trucks,83
2023,Remaining,JUN,Coastal/Interior,CHICAGO,OH,"DAYTON, OH (4104)",Air,Travelers,Air,150
2023,Remaining,FEB,Southern Border,SAN DIEGO,CA,"TECATE, CA (2505)",Land,Conveyances,Passenger Vehicles,77850
2023,FYTD,NOV,Southern Border,SAN DIEGO,CA,"CALEXICO, CA (2503)",Land,Travelers,Passenger Vehicles,673400
2023,Remaining,MAR,Northern Border,SEATTLE,ND,"AMBROSE, ND (3410)",Land,Conveyances,Passenger Vehicles,72
2023,Remaining,AUG,Northern Border,BOSTON,ME,"HOULTON, ME (0106)",Land,Conveyances,Trucks,6771
2024,FYTD,DEC,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Land,Travelers,Pedestrians,123431
2023,FYTD,NOV,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Land,Conveyances,Passenger Vehicles,387075
2022,Remaining,JAN,Southern Border,LAREDO,TX,"EAGLE PASS, TX (2303)",Land,Conveyances,Trucks,15478
2022,Remaining,APR,Northern Border,SEATTLE,WA,"BLAINE, WA (3004)",Land,Travelers,Pedestrians,23115
2024,Remaining,MAR,Southern Border,SAN DIEGO,CA,MCCLELLAN-PALOMAR AIRPRT (2581),Air,Conveyances,Air,51
2022,FYTD,NOV,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Conveyances,Passenger Vehicles,31264
2023,Remaining,MAY,Coastal/Interior,MIAMI,FL,"FORT PIERCE, FL (5205)",Air,Travelers,Air,2457
2024,Remaining,JUN,Coastal/Interior,CHICAGO,WI,APPLETON INTL ARPT (3781),Air,Travelers,Air,60
2024,FYTD,OCT,Southern Border,SAN DIEGO,CA,MCCLELLAN-PALOMAR AIRPRT (2581),Air,Conveyances,Air,52
2022,Remaining,APR,Northern Border,SEATTLE,ND,"FORTUNA, ND (3417)",Land,Travelers,Trucks,239
2024,Remaining,MAY,Northern Border,DETROIT,MI,"SAULT STE. MARIE, MI (3803)",Land,Conveyances,Trucks,2840
2025 (FYTD),FYTD,DEC,Coastal/Interior,TAMPA,FL,NAPLES MUNICIPAL AIRPORT (USER FEE) (1880),Air,Travelers,Air,1162
2024,Remaining,MAY,Southern Border,EL PASO,TX,YSLETA (2401),Land,Travelers,Passenger Vehicles,517253
2024,Remaining,APR,Northern Border,BUFFALO,NY,"OGDENSBURG, NY (0701)",Land,Travelers,Passenger Vehicles,33333
2023,FYTD,NOV,Coastal/Interior,TAMPA,FL,"TAMPA, FL (1801)",Air,Travelers,Air,27043
2024,Remaining,MAR,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Travelers,Passenger Vehicles,125955
2024,Remaining,APR,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Conveyances,Air,16
2022,Remaining,FEB,Northern Border,SEATTLE,MT,"SCOBEY, MT (3309)",Land,Travelers,Passenger Vehicles,192
2024,Remaining,JUN,Northern Border,BOSTON,MA,"WORCESTER, MA (0403)",Air,Travelers,Air,9
2023,Remaining,JAN,Coastal/Interior,CHICAGO,MO,"ST LOUIS, MO (4503)",Air,Travelers,Air,17336
2024,Remaining,MAR,Northern Border,SEATTLE,MN,"BAUDETTE, MN (3424)",Air,Conveyances,Air,1
2024,Remaining,MAY,Northern Border,SEATTLE,MT,"WILDHORSE, MT (3323)",Land,Travelers,Passenger Vehicles,1835
2024,Remaining,MAY,Northern Border,BOSTON,ME,"PORTLAND, ME (0101)",Air,Conveyances,Air,40
2022,Remaining,MAR,Northern Border,SEATTLE,MT,BOZEMAN YELLOWSTONE UFA (3386),Air,Travelers,Air,91
2022,Remaining,JUN,Southern Border,EL PASO,TX,YSLETA (2401),Land,Travelers,Pedestrians,104886
2022,FYTD,OCT,Northern Border,BOSTON,ME,"CALAIS, ME (0115)",Land,Travelers,Trucks,5780
2022,Remaining,AUG,Coastal/Interior,HOUSTON,TX,"DALLAS/FT. WORTH, TX (5501)",Air,Travelers,Air,469100
2022,Remaining,APR,Coastal/Interior,CHICAGO,MN,"DULUTH, MN (3510)",Air,Travelers,Air,51
2022,Remaining,APR,Coastal/Interior,SAN JUAN,PR,"AGUADILLA, PR (4901)",Air,Travelers,Air,494
2023,Remaining,JAN,Coastal/Interior,CHICAGO,OH,"CINCINNATI, OH (4102)",Air,Conveyances,Air,36
2024,FYTD,DEC,Northern Border,SEATTLE,ND,"WESTHOPE, ND (3419)",Land,Conveyances,Passenger Vehicles,368
2023,Remaining,JUN,Southern Border,EL PASO,TX,YSLETA (2401),Land,Travelers,Passenger Vehicles,516588
2024,FYTD,OCT,Northern Border,SEATTLE,WA,"BELLINGHAM, WA (3005)",Air,Travelers,Air,184
2024,Remaining,FEB,Northern Border,DETROIT,MI,"PORT HURON, MI (3802)",Land,Travelers,Pedestrians,4369
2025 (FYTD),FYTD,NOV,Coastal/Interior,SAN FRANCISCO,CA,"SAN FRANCISCO, CA (2809)",Air,Conveyances,Air,34
2023,Remaining,JUL,Coastal/Interior,TAMPA,FL,ST AUGUSTINE ARPT UFA (1889),Air,Conveyances,Air,65
2022,Remaining,JUL,Southern Border,LAREDO,TX,"PROGRESO, TX (2309)",Air,Conveyances,Air,12
2023,Remaining,APR,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Trucks,221
2023,FYTD,NOV,Coastal/Interior,LOS ANGELES,NV,"LAS VEGAS, NV (2722)",Air,Travelers,Air,60124
2022,Remaining,JUL,Coastal/Interior,TAMPA,FL,"JACKSONVILLE, FL (1803)",Air,Conveyances,Air,85
2024,Remaining,JUN,Northern Border,SEATTLE,MT,"RAYMOND, MT (3301)",Land,Conveyances,Trucks,1224
2022,Remaining,JUN,Northern Border,BUFFALO,NY,"MASSENA, NY (0704)",Air,Conveyances,Air,6
2022,FYTD,NOV,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Conveyances,Passenger Vehicles,259
2022,Remaining,FEB,Northern Border,BOSTON,VT,"RICHFORD, VT (0203)",Land,Conveyances,Trucks,397
2022,Remaining,MAR,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Travelers,Air,114
2024,FYTD,NOV,Northern Border,SEATTLE,ND,"HANSBORO, ND (3415)",Land,Travelers,Pedestrians,11
2022,Remaining,SEP,Northern Border,DETROIT,MI,"DETROIT, MI (3801)",Air,Conveyances,Air,31
2022,Remaining,AUG,Northern Border,SEATTLE,MT,"WILDHORSE, MT (3323)",Land,Travelers,Passenger Vehicles,2213
2024,Remaining,FEB,Coastal/Interior,SAN FRANCISCO,CA,"SAN FRANCISCO, CA (2809)",Air,Travelers,Air,229
2022,Remaining,MAR,Northern Border,PORTLAND,AK,"SKAGWAY, AK (3103)",Land,Travelers,Pedestrians,15
2022,Remaining,FEB,Northern Border,BOSTON,ME,"VANCEBORO, ME (0105)",Land,Travelers,Passenger Vehicles,216
2025 (FYTD),FYTD,NOV,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Conveyances,Trucks,128
2024,Remaining,MAR,Northern Border,SEATTLE,MN,"GRAND PORTAGE, MN (3613)",Air,Travelers,Air,1
2024,Remaining,JAN,Northern Border,SEATTLE,WA,"POINT ROBERTS, WA (3017)",Land,Travelers,Pedestrians,1503
2024,Remaining,FEB,Northern Border,SEATTLE,WA,"DANVILLE, WA (3012)",Land,Conveyances,Trucks,8
2023,Remaining,MAR,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Land,Conveyances,Trucks,5948
2023,FYTD,OCT,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Conveyances,Trucks,165
2023,FYTD,DEC,Northern Border,BUFFALO,NY,"UTICA, NY (0907)",Air,Conveyances,Air,1
2022,Remaining,JUN,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Land,Conveyances,Trucks,6759
2024,Remaining,SEP,Coastal/Interior,ATLANTA,GA,SOUTH ATLANTIC CMC (1700),Air,Travelers,Air,37
2024,FYTD,DEC,Coastal/Interior,CHICAGO,WI,APPLETON INTL ARPT (3781),Air,Travelers,Air,17
2023,Remaining,MAY,Northern Border,BOSTON,VT,"DERBY LINE, VT (0209)",Land,Conveyances,Trucks,7708
2022,FYTD,DEC,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO,TX(INACTIVE) (2308)",Air,Conveyances,Air,469
2024,FYTD,NOV,Northern Border,SEATTLE,ND,"NECHE, ND (3404)",Land,Conveyances,Trucks,985
2023,Remaining,JUL,Coastal/Interior,BALTIMORE,PA,"PHILADELPHIA, PA (1101)",Air,Conveyances,Air,3
2023,FYTD,DEC,Coastal/Interior,NEW ORLEANS,AR,ROGERS MUNICIPAL AIRPORT (2084),Air,Conveyances,Air,10
2025 (FYTD),FYTD,NOV,Coastal/Interior,CHICAGO,KS,"WICHITA, KS (4504)",Air,Conveyances,Air,13
2025 (FYTD),FYTD,DEC,Coastal/Interior,CHICAGO,MO,"SPRINGFIELD, MO (4505)",Air,Travelers,Air,11
2023,Remaining,SEP,Coastal/Interior,TAMPA,FL,"ORLANDO, FL (1808)",Air,Conveyances,Air,1294
2024,Remaining,JAN,Coastal/Interior,TAMPA,FL,"JACKSONVILLE, FL (1803)",Air,Travelers,Air,1204
2024,FYTD,OCT,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Conveyances,Trucks,7856
2023,Remaining,JUL,Northern Border,BOSTON,ME,"JACKMAN, ME (0104)",Air,Conveyances,Air,3
2023,Remaining,JAN,Northern Border,SEATTLE,ID,"PORTHILL, ID (3308)",Land,Conveyances,Trucks,173
