FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,Remaining,MAR,Coastal/Interior,SAN FRANCISCO,NV,"RENO, NV (2833)",Air,Conveyances,Air,36
2024,FYTD,NOV,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Air,Travelers,Air,255
2023,FYTD,NOV,Southern Border,TUCSON,AZ,"NACO, AZ (2603)",Land,Travelers,Passenger Vehicles,48453
2023,FYTD,DEC,Northern Border,BOSTON,MA,HANSCOM USER FEE AIRPORT (0481),Air,Conveyances,Air,107
2024,FYTD,DEC,Northern Border,BOSTON,ME,"PORTLAND, ME (0101)",Air,Travelers,Air,31
2023,Remaining,APR,Northern Border,BOSTON,CT,"NEW HAVEN, CT (0412)",Air,Travelers,Air,27
2023,FYTD,DEC,Northern Border,SEATTLE,ND,"DUNSEITH, ND (3422)",Land,Travelers,Pedestrians,44
2023,Remaining,JUN,Northern Border,SEATTLE,MT,"WILLOW CREEK, MT (3325)",Land,Conveyances,Passenger Vehicles,333
2024,Remaining,JUN,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO, TX (5507)",Air,Travelers,Air,37319
2024,Remaining,APR,Southern Border,SAN DIEGO,CA,MCCLELLAN-PALOMAR AIRPRT (2581),Air,Conveyances,Air,76
2024,Remaining,MAY,Southern Border,EL PASO,NM,SANTA TERESA (2408),Air,Travelers,Air,137
2022,Remaining,JUL,Coastal/Interior,MIAMI,FL,WITHAM FIELD GAF (SUA) (5283),Air,Conveyances,Air,84
2024,Remaining,JUN,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Air,Conveyances,Air,197
2022,FYTD,DEC,Northern Border,SEATTLE,ID,"PORTHILL, ID (3308)",Land,Travelers,Passenger Vehicles,2643
2024,Remaining,MAY,Coastal/Interior,BALTIMORE,PA,"PITTSBURGH, PA (1104)",Air,Travelers,Air,8105
2024,Remaining,MAY,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Travelers,Trucks,141
2023,Remaining,FEB,Coastal/Interior,CHICAGO,MO,"SPRINGFIELD, MO (4505)",Air,Conveyances,Air,4
2025 (FYTD),FYTD,OCT,Southern Border,LAREDO,TX,"BROWNSVILLE, TX (2301)",Land,Conveyances,Passenger Vehicles,409580
2025 (FYTD),FYTD,DEC,Northern Border,SEATTLE,WA,METALINE FALLS (3025),Land,Conveyances,Trucks,540
2022,Remaining,FEB,Coastal/Interior,NEW YORK,NY,"NEW YORK, NY (1001)",Air,Conveyances,Air,246
2023,FYTD,DEC,Coastal/Interior,TAMPA,FL,NAPLES MUNICIPAL AIRPORT (USER FEE) (1880),Air,Conveyances,Air,218
2023,Remaining,JUN,Northern Border,BOSTON,ME,"MADAWASKA, ME (0109)",Land,Travelers,Pedestrians,41
2022,Remaining,JAN,Southern Border,LAREDO,TX,"LAREDO, TX (2304)",Air,Travelers,Air,2863
2022,Remaining,JUN,Coastal/Interior,NEW ORLEANS,LA,"MORGAN CITY, LA (2001)",Air,Conveyances,Air,1
2022,Remaining,JUL,Coastal/Interior,NEW ORLEANS,AL,"MOBILE, AL (1901)",Air,Conveyances,Air,5
2023,FYTD,OCT,Southern Border,LAREDO,TX,"DEL RIO, TX (2302)",Air,Travelers,Air,163
2022,FYTD,DEC,Northern Border,SEATTLE,ND,"DUNSEITH, ND (3422)",Land,Travelers,Passenger Vehicles,2338
2024,Remaining,JUL,Northern Border,PORTLAND,WY,"CASPER, WYOMING (3332)",Air,Travelers,Air,16
2023,Remaining,JAN,Northern Border,BUFFALO,NY,CHAMPLAIN-ROUSES POINT (0712),Land,Travelers,Trucks,23316
2024,Remaining,JUL,Northern Border,SEATTLE,MN,"INTERNATIONAL FALLS, MN (3604)",Air,Conveyances,Air,63
